13.09.23 / 19:13:58;;;;********** New Test Started **********;Version of LINTest: 11.1.1.0
13.09.23 / 19:13:58;#3;TESTER;0;Tester;LASPRD-S4ES1815, LA36 Pre-Tester Manual-Cell, 2011-112, LINTest 11.1.1.0;
13.09.23 / 19:13:58;#3;INFO;0;Bay;3;
13.09.23 / 19:13:58;#3;PROTOCOL;0;Communication Protocol;CANBUS_ZEROPOINT_PROTOCOL;
13.09.23 / 19:13:58;#3;INFO;0;WO Number;31304279
13.09.23 / 19:13:58;#3;INFO;0;Serial Number;0010;
13.09.23 / 19:13:58;#3;INFO;0;Product;LA36 CANBus;
13.09.23 / 19:13:58;#3;STEP;10;Nominal Power.;;
13.09.23 / 19:14:02;#3;STEP;20;Connect Violet pin for communication.;;
13.09.23 / 19:14:02;#3;STEP;30;Start Bus communication 100ms continual.;;
13.09.23 / 19:14:02;#3;STEP;30;Looks like Actuator;Connected;
13.09.23 / 19:14:02;#3;STEP;40;SetForcePositionLost for Run Max. Speed;;
13.09.23 / 19:14:02;#3;INFO;40;SetForcePositionLost;DONE;
13.09.23 / 19:14:03;#3;STEP;40;Find BusLink *.ini Files.;;
13.09.23 / 19:14:03;#3;STEP;40;Actuator ID;LA36CA4;
13.09.23 / 19:14:04;#3;PLC_CMD;0;Command from PLC;PLC Commando;
13.09.23 / 19:14:04;#3;STEP;50;No Buslink communication.;;
13.09.23 / 19:14:05;#3;STEP;60;Open the right *.ini file.;;
13.09.23 / 19:14:05;#3;INFO;60;LA36CA4.ini;file found;
13.09.23 / 19:14:06;#3;STEP;70;Read SW nummer from Actuator.;;
13.09.23 / 19:14:06;#3;STEP;80;Show: “Initializing EOS IN.;;
13.09.23 / 19:14:06;#3;STEP;90;Read WO Number from Actuator.;;
13.09.23 / 19:14:06;#3;INFO;90;WO from Actuator  ;31304279;
13.09.23 / 19:14:06;#3;INFO;90;UniqueID from Actuator;1038356;
13.09.23 / 19:14:06;#3;STEP;100;Read SW Version from Actuator.;;
13.09.23 / 19:14:06;#3;INFO;100;SW Actuator;SW01050012V1-0;
13.09.23 / 19:14:06;#3;STEP;110;Compare WO Number, SW Version.;;
