14.06.23 / 11:22:57;;;;********** New Test Started **********;Version of LINTest: 11.0.22.0
14.06.23 / 11:22:57;#1;TESTER;0;Tester;LASPRD-C0197V60, LA36 Pre-Tester Auto-Cell, 2022-032, LINTest 11.0.22.0
14.06.23 / 11:22:57;#1;INFO;0;Bay;1
14.06.23 / 11:22:57;#1;PROTOCOL;0;Communication Protocol;CANBUS_ZEROPOINT_PROTOCOL
14.06.23 / 11:22:57;#1;INFO;0;WO Number;31391233
14.06.23 / 11:22:57;#1;INFO;0;Serial Number;9
14.06.23 / 11:22:57;#1;INFO;0;Product;LA36 IC
14.06.23 / 11:22:57;#1;STEP;10;Nominal Power.;
14.06.23 / 11:23:01;#1;STEP;20;Connect Violet pin for communication.;
14.06.23 / 11:23:01;#1;STEP;30;Start Bus communication 100ms continual.;
14.06.23 / 11:23:01;#1;STEP;30;Looks like Actuator;Connected
14.06.23 / 11:23:01;#1;STEP;40;SetForcePositionLost for Run Max. Speed;
14.06.23 / 11:23:01;#1;INFO;40;SetForcePositionLost;DONE
14.06.23 / 11:23:03;#1;STEP;40;Find BusLink *.ini Files.;
14.06.23 / 11:23:03;#1;INFO;40;Actuator ID;LA36CA9
14.06.23 / 11:23:03;#1;STEP;50;Timeout after 3 sec., indicate 'Ingen LIN kommunikation.;
14.06.23 / 11:23:05;#1;STEP;60;Open the right *.ini file.;
14.06.23 / 11:23:05;#1;INFO;60;LA36CA9.ini;file found
14.06.23 / 11:23:05;#1;STEP;70;Read SW nummer from Actuator.;
14.06.23 / 11:23:05;#1;STEP;80;Show Initializing EOS IN.;
14.06.23 / 11:23:05;#1;STEP;90;Read WO Number from Actuator.;
14.06.23 / 11:23:06;#1;INFO;90;WO from Actuator;31391233
14.06.23 / 11:23:06;#1;INFO;90;UniqueID from Actuator;970825
14.06.23 / 11:23:06;#1;STEP;100;Read SW Version from Actuator.;
14.06.23 / 11:23:06;#1;INFO;100;SW Actuator;SW01050021V0-117002
14.06.23 / 11:23:06;#1;STEP;110;Compare WONumber, SWVersion, PCB.;
14.06.23 / 11:23:06;#1;INFO;110;Query WO SQL Table Ax_Data;
14.06.23 / 11:23:06;#1;INFO;110;From Ax_Software;SW01050021V0-118608
14.06.23 / 11:23:06;#1;INFO;110;From AxArtNo;362693-00
14.06.23 / 11:23:06;#1;INFO;110;From AxArtName;362693-00
14.06.23 / 11:23:06;#1;INFO;110;From AxConf;FieldReject
14.06.23 / 11:23:06;#1;INFO;110;From AxPCBA;FieldReject
14.06.23 / 11:23:12;#1;ERROR;85;Error software version difference;
19.06.23 / 13:02:18;;;;********** New Test Started **********;Version of LINTest: 11.0.22.0
19.06.23 / 13:02:18;#2;TESTER;0;Tester;LASPRD-C0197V60, LA36 Pre-Tester Auto-Cell, 2022-032, LINTest 11.0.22.0
19.06.23 / 13:02:18;#2;INFO;0;Bay;2
19.06.23 / 13:02:18;#2;PROTOCOL;0;Communication Protocol;CANBUS_ZEROPOINT_PROTOCOL
19.06.23 / 13:02:18;#2;INFO;0;WO Number;31391233
19.06.23 / 13:02:18;#2;INFO;0;Serial Number;9
19.06.23 / 13:02:18;#2;INFO;0;Product;LA36 CANBus
19.06.23 / 13:02:19;#2;STEP;10;Nominal Power.;
19.06.23 / 13:02:23;#2;STEP;20;Connect Violet pin for communication.;
19.06.23 / 13:02:23;#2;STEP;30;Start Bus communication 100ms continual.;
19.06.23 / 13:02:23;#2;STEP;30;Looks like Actuator;Connected
19.06.23 / 13:02:23;#2;STEP;40;SetForcePositionLost for Run Max. Speed;
19.06.23 / 13:02:23;#2;INFO;40;SetForcePositionLost;DONE
19.06.23 / 13:02:25;#2;STEP;40;Find BusLink *.ini Files.;
19.06.23 / 13:02:25;#2;INFO;40;Actuator ID;LA36CA9
19.06.23 / 13:02:25;#2;STEP;50;Timeout after 3 sec., indicate 'Ingen LIN kommunikation.;
19.06.23 / 13:02:27;#2;STEP;60;Open the right *.ini file.;
19.06.23 / 13:02:27;#2;INFO;60;LA36CA9.ini;file found
19.06.23 / 13:02:27;#2;STEP;70;Read SW nummer from Actuator.;
19.06.23 / 13:02:27;#2;STEP;80;Show Initializing EOS IN.;
19.06.23 / 13:02:27;#2;STEP;90;Read WO Number from Actuator.;
19.06.23 / 13:02:27;#2;INFO;90;WO from Actuator;31391233
19.06.23 / 13:02:27;#2;INFO;90;UniqueID from Actuator;970825
19.06.23 / 13:02:28;#2;STEP;100;Read SW Version from Actuator.;
19.06.23 / 13:02:28;#2;INFO;100;SW Actuator;SW01050021V0-117002
19.06.23 / 13:02:28;#2;STEP;110;Compare WONumber, SWVersion, PCB.;
19.06.23 / 13:02:28;#2;INFO;110;Query WO SQL Table Ax_Data;
19.06.23 / 13:02:28;#2;INFO;110;From Ax_Software;SW01050021V0-117002
19.06.23 / 13:02:28;#2;INFO;110;From AxArtNo;362693-00
19.06.23 / 13:02:28;#2;INFO;110;From AxArtName;362693-00
19.06.23 / 13:02:28;#2;INFO;110;From AxConf;FieldReject
19.06.23 / 13:02:28;#2;INFO;110;From AxPCBA;FieldReject
19.06.23 / 13:02:28;#2;STEP;120;Run out.;
19.06.23 / 13:02:33;#2;STEP;120;Ran Out For 2 s;DONE
19.06.23 / 13:02:33;#2;STEP;130;Read EOS IN status. if not 0 'EOS IN error'. Not for ZeroPoint.;
19.06.23 / 13:02:33;#2;INFO;999;ServoPosition w/o ZeroPoint;402.47 mm
19.06.23 / 13:02:33;#2;INFO;999;Running to Zero Point;
19.06.23 / 13:02:35;#2;INFO;999;Reached Zero Point;DONE
19.06.23 / 13:02:35;#2;STEP;140;Stop 200ms/Run In.;
19.06.23 / 13:03:00;#2;STEP;150;Run to EOS IN.;
19.06.23 / 13:03:00;#2;INFO;999;Min Servo Position;344.21 mm
19.06.23 / 13:03:00;#2;INFO;999;CalibratedEOSInPosition BID mechanically;PASSED
19.06.23 / 13:03:00;#2;INFO;999;Writing dwZPointCalibrationOffset;110
19.06.23 / 13:03:00;#2;STEP;140;SetZPointCalibrationOffset;FAILED
19.06.23 / 13:03:01;#2;STEP;160;Read EOS IN Status. Not for ZeroPoint.;
19.06.23 / 13:03:02;#2;STEP;220;Show: Initializing EOS Out.;
19.06.23 / 13:03:02;#2;STEP;230;Run to EOS OUT.;
19.06.23 / 13:03:21;#2;STEP;240;Read EOS OUT Status. if not 1 'EOS ud ikke aktiv'. Not for ZeroPoint.;
19.06.23 / 13:03:21;#2;STEP;240;Mechanical EOS OUT found;
19.06.23 / 13:03:21;#2;INFO;999;Max Servo Position;503.13 mm
19.06.23 / 13:03:21;#2;INFO;999;Min Servo Position;344.21 mm
19.06.23 / 13:03:21;#2;INFO;999;Servo Stroke;158.92 mm
19.06.23 / 13:03:21;#2;INFO;999;Margin Mechanical EOS Out;2.00 mm
19.06.23 / 13:03:21;#2;INFO;999;Margin Mechanical EOS In;2.00 mm
19.06.23 / 13:03:21;#2;INFO;999;Build In;350.00 mm
19.06.23 / 13:03:21;#2;INFO;999;Offset;-27.50 mm
19.06.23 / 13:03:21;#2;INFO;999;Stroke;150.00 mm
19.06.23 / 13:03:21;#2;STEP;355;EndPosition;0.00 mm
19.06.23 / 13:03:21;#2;INFO;999;Max Out Servo Margin;501.13 mm
19.06.23 / 13:03:21;#2;INFO;999;CalibratedEOSOutPosition;149.89 mm
19.06.23 / 13:03:21;#2;INFO;999;CalibratedEOSOutPosition;Is inside physical Stroke
