13.09.23 / 11:51:26;;;;********** New Test Started **********;Version of LINTest: 11.1.1.0
13.09.23 / 11:51:26;#2;TESTER;0;Tester;LASPRD-C9033VKM, LA12_LA14 Function-Tester, 2011-057, LINTest 11.1.1.0;
13.09.23 / 11:51:26;#2;INFO;0;Bay;2;
13.09.23 / 11:51:26;#2;PROTOCOL;0;Communication Protocol;CANBUS_PROTOCOL;
13.09.23 / 11:51:26;#2;INFO;0;WO Number;31439638
13.09.23 / 11:51:26;#2;INFO;0;Serial Number;0002;
13.09.23 / 11:51:26;#2;INFO;0;Product;LA14 IC;
13.09.23 / 11:51:26;#2;STEP;10;Nominal Power.;;
13.09.23 / 11:51:29;#2;STEP;20;Connect Violet pin for communication.;;
13.09.23 / 11:51:29;#2;STEP;30;Start Bus communication 100ms continual.;;
13.09.23 / 11:51:29;#2;INFO;30;Looks like Actuator is Connected;;
13.09.23 / 11:51:29;#2;STEP;40;Find BusLink *.ini Files.;;
13.09.23 / 11:51:29;#2;STEP;40;Actuator ID;LA14CA4;
13.09.23 / 11:51:29;#2;STEP;40;SetForcePositionLost for Run Max. Speed;;
13.09.23 / 11:51:29;#2;STEP;40;SetForcePositionLost;DONE;
13.09.23 / 11:51:29;#2;PLC_CMD;0;Command from PLC;PLC Commando;
13.09.23 / 11:51:30;#2;STEP;50;No Buslink communication.;;
13.09.23 / 11:51:30;#2;STEP;60;Open the right *.ini file.;;
13.09.23 / 11:51:30;#2;INFO;60;LA14CA4;ini file found;
13.09.23 / 11:51:30;#2;STEP;70;Read SW nummer from Actuator.;;
13.09.23 / 11:51:30;#2;STEP;80;Show: “Initializing EOS IN.;;
13.09.23 / 11:51:30;#2;STEP;90;Read WO Number from Actuator.;;
13.09.23 / 11:51:30;#2;INFO;90;WO from Actuator;31439638;
13.09.23 / 11:51:30;#2;INFO;90;UniqueID from Actuator;1037766;
13.09.23 / 11:51:30;#2;STEP;100;Read SW Version from Actuator.;;
13.09.23 / 11:51:30;#2;INFO;100;SW Actuator;SW01050000V3-1;
13.09.23 / 11:51:30;#2;STEP;110;Compare WO Number, SW Version.;;
13.09.23 / 11:51:30;#2;INFO;110;Query WO SQL Table Ax_Data;;
13.09.23 / 11:51:30;#2;INFO;110;From Ax_Software;SW01050000V3-1;
13.09.23 / 11:51:30;#2;INFO;110;From AxArtNo;140143-02;
13.09.23 / 11:51:30;#2;INFO;110;From AxArtName;1402013000007D16=1300255000000;
13.09.23 / 11:51:30;#2;INFO;110;From AxConf;10SW14CFGA00003;
13.09.23 / 11:51:30;#2;INFO;110;From AxPCBA;10CS14500000000-B-0;
13.09.23 / 11:51:31;#2;STEP;120;Run out.;;
13.09.23 / 11:51:33;#2;STEP;130;Read EOS IN status. if not 0 'EOS IN error'. Not for ZeroPoint.;;
13.09.23 / 11:51:33;#2;STEP;130;EOS IN;Is deactivated;
13.09.23 / 11:51:33;#2;STEP;140;Stop 200ms.;;
13.09.23 / 11:51:37;#2;STEP;150;EOS IN;Is activated;
13.09.23 / 11:51:38;#2;STEP;150;Run to EOS IN.;;
13.09.23 / 11:51:39;#2;STEP;160;Read EOS IN Status. Not for ZeroPoint.;;
13.09.23 / 11:51:40;#2;STEP;180;Wait for PLC-command 'EOS IN Signal and Voltage OK'. 11. Not for ZeroPoint.;;
13.09.23 / 11:51:40;#2;STEP;200;Run servo to reference position and start stroke measurement.;;
13.09.23 / 11:51:41;#2;STEP;210;Show: 'Initializing EOS IN OK'.  Not for ZeroPoint.;;
13.09.23 / 11:51:41;#2;STEP;220;Show: 'Initializing EOS Out'.;;
13.09.23 / 11:51:42;#2;STEP;230;Run to EOS OUT.;;
13.09.23 / 11:51:50;#2;STEP;240;Read EOS OUT Status. if not 1 'EOS out NOT activ'. Not for ZeroPoint.;;
13.09.23 / 11:51:50;#2;STEP;240;EOS OUT;Is activated;
13.09.23 / 11:51:50;#2;STEP;280;Compare BusLink and Servo Movement and PLC-command 'EOS OUT Signal and Voltage OK'. Not for ZeroPoint.;;
13.09.23 / 11:51:50;#2;STEP;290;Show: 'Initializing EOS out OK'. For ZeroPoint, found MekEOS.;;
13.09.23 / 11:51:52;#2;STEP;300;If Single/OneHall, No Feedback go to step 310 else step 280.  Not for ZeroPoint.;;
13.09.23 / 11:51:53;#2;STEP;310;Run to SetPoint for Pulltest;;
13.09.23 / 11:51:55;#2;STEP;320;Actuator Type is -> Fixed, Learn, Potmeter;;
13.09.23 / 11:51:55;#2;STEP;320;Run to half stroke;;
13.09.23 / 11:52:00;#2;STEP;320;Min Servo Position;249.56  mm;
13.09.23 / 11:52:00;#2;STEP;320;Max Servo Position;378.11  mm;
13.09.23 / 11:52:00;#2;INFO;320;Min Buslink Position;0.00 mm;
13.09.23 / 11:52:00;#2;INFO;320;Max Buslink Position;-0.10 mm;
13.09.23 / 11:52:00;#2;INFO;320;Current Buslink Position;-0.10 mm;
13.09.23 / 11:52:00;#2;INFO;320;Tolerance 1/2 Stroke;2.00 mm;
13.09.23 / 11:52:00;#2;STEP;320;Spec. Servo Position Min.;-2.00 mm;
13.09.23 / 11:52:00;#2;STEP;320;Buslink Position;-0.10 mm;
13.09.23 / 11:52:00;#2;STEP;320;Spec. Servo Position Max.;2.00 mm;
13.09.23 / 11:52:02;#2;ERROR;71;Error at running to end position;;
