13.09.23 / 11:54:42;;;;********** New Test Started **********;Version of LINTest: 11.1.1.0
13.09.23 / 11:54:42;#2;TESTER;0;Tester;LASPRD-C9033VKM, LA12_LA14 Function-Tester, 2011-057, LINTest 11.1.1.0;
13.09.23 / 11:54:42;#2;INFO;0;Bay;2;
13.09.23 / 11:54:42;#2;PROTOCOL;0;Communication Protocol;CANBUS_PROTOCOL;
13.09.23 / 11:54:42;#2;INFO;0;WO Number;31439638
13.09.23 / 11:54:42;#2;INFO;0;Serial Number;0020;
13.09.23 / 11:54:42;#2;INFO;0;Product;LA14 IC;
13.09.23 / 11:54:42;#2;STEP;10;Nominal Power.;;
13.09.23 / 11:54:44;#2;STEP;20;Connect Violet pin for communication.;;
13.09.23 / 11:54:45;#2;STEP;30;Start Bus communication 100ms continual.;;
13.09.23 / 11:54:45;#2;INFO;30;Looks like Actuator is Connected;;
13.09.23 / 11:54:45;#2;STEP;40;Find BusLink *.ini Files.;;
13.09.23 / 11:54:45;#2;STEP;40;Actuator ID;LA14CA4;
13.09.23 / 11:54:45;#2;STEP;40;SetForcePositionLost for Run Max. Speed;;
13.09.23 / 11:54:45;#2;STEP;40;SetForcePositionLost;DONE;
13.09.23 / 11:54:45;#2;PLC_CMD;0;Command from PLC;PLC Commando;
13.09.23 / 11:54:45;#2;STEP;50;No Buslink communication.;;
13.09.23 / 11:54:45;#2;STEP;60;Open the right *.ini file.;;
13.09.23 / 11:54:45;#2;INFO;60;LA14CA4;ini file found;
13.09.23 / 11:54:45;#2;STEP;70;Read SW nummer from Actuator.;;
13.09.23 / 11:54:45;#2;STEP;80;Show: “Initializing EOS IN.;;
13.09.23 / 11:54:46;#2;STEP;90;Read WO Number from Actuator.;;
13.09.23 / 11:54:46;#2;INFO;90;WO from Actuator;31439638;
13.09.23 / 11:54:46;#2;INFO;90;UniqueID from Actuator;1037776;
13.09.23 / 11:54:46;#2;STEP;100;Read SW Version from Actuator.;;
13.09.23 / 11:54:46;#2;INFO;100;SW Actuator;SW01050000V3-1;
13.09.23 / 11:54:46;#2;STEP;110;Compare WO Number, SW Version.;;
13.09.23 / 11:54:46;#2;INFO;110;Query WO SQL Table Ax_Data;;
13.09.23 / 11:54:46;#2;INFO;110;From Ax_Software;SW01050000V3-1;
13.09.23 / 11:54:46;#2;INFO;110;From AxArtNo;140143-02;
13.09.23 / 11:54:46;#2;INFO;110;From AxArtName;1402013000007D16=1300255000000;
13.09.23 / 11:54:46;#2;INFO;110;From AxConf;10SW14CFGA00003;
13.09.23 / 11:54:46;#2;INFO;110;From AxPCBA;10CS14500000000-B-0;
13.09.23 / 11:54:46;#2;STEP;120;Run out.;;
13.09.23 / 11:54:48;#2;STEP;130;Read EOS IN status. if not 0 'EOS IN error'. Not for ZeroPoint.;;
13.09.23 / 11:54:48;#2;STEP;130;EOS IN;Is deactivated;
13.09.23 / 11:54:48;#2;STEP;140;Stop 200ms.;;
13.09.23 / 11:54:53;#2;STEP;150;EOS IN;Is activated;
13.09.23 / 11:54:53;#2;STEP;150;Run to EOS IN.;;
13.09.23 / 11:54:54;#2;STEP;160;Read EOS IN Status. Not for ZeroPoint.;;
13.09.23 / 11:54:55;#2;STEP;180;Wait for PLC-command 'EOS IN Signal and Voltage OK'. 11. Not for ZeroPoint.;;
13.09.23 / 11:54:56;#2;STEP;200;Run servo to reference position and start stroke measurement.;;
