13.09.23 / 20:14:04;;;;********** New Test Started **********;Version of LINTest: 11.1.4.0
13.09.23 / 20:14:04;#1;TESTER;0;Tester;LASPRD-PC0WWK2C, LA36 Pre-Tester Multi-Cell, 202112-154B, LINTest 11.1.4.0;
13.09.23 / 20:14:04;#1;INFO;0;Bay;1;
13.09.23 / 20:14:04;#1;PROTOCOL;0;Communication Protocol;BUSLINK_PROTOCOL;
13.09.23 / 20:14:04;#1;INFO;0;WO Number;31317485
13.09.23 / 20:14:04;#1;INFO;0;Serial from PLC;0001;
13.09.23 / 20:14:04;#1;INFO;0;Product;LA36 IC;
13.09.23 / 20:14:04;#1;STEP;10;Nominal Power.;;
13.09.23 / 20:14:08;#1;STEP;20;Connect 3 PINs (BW,FW and LIN/Feedback).;;
13.09.23 / 20:14:08;#1;STEP;30;Start LIN communication 100ms continual.;;
13.09.23 / 20:14:08;#1;INFO;30;Looks like Actuator;Connected;
13.09.23 / 20:14:08;#1;STEP;40;Find BusLink *.ini Files.;;
13.09.23 / 20:14:08;#1;STEP;40;Actuator ID;LA36IC4B;
13.09.23 / 20:14:08;#1;PLC_CMD;0;Command from PLC;PLC Commando;
13.09.23 / 20:14:09;#1;STEP;50;Timeout after 1 sec., indicate 'Ingen Buslink kommunikation.;;
13.09.23 / 20:14:09;#1;STEP;60;Open the right *.ini file.;;
13.09.23 / 20:14:09;#1;INFO;60;LA36IC4B.ini;file found;
13.09.23 / 20:14:09;#1;STEP;70;Read SW Version from Actuator. Timout 1 sec., indicate 'Ingen Buslink kommunikation'.;;
13.09.23 / 20:14:09;#1;STEP;80;Show: Initializing EOS ind.;;
13.09.23 / 20:14:09;#1;STEP;90;Read WO Number from Actuator.;;
13.09.23 / 20:14:09;#1;INFO;90;WO from Actuator;31317485;
13.09.23 / 20:14:09;#1;INFO;90;UniqueID from Actuator;1041524;
13.09.23 / 20:14:09;#1;STEP;100;Read SW Version from Actuator.;;
13.09.23 / 20:14:10;#1;STEP;110;Compare WONumber and SWVersion.;;
13.09.23 / 20:14:10;#1;INFO;110;Query WO SQL Table Ax_Data;;
13.09.23 / 20:14:10;#1;INFO;110;SW Actuator;SW01022019V1-2;
13.09.23 / 20:14:10;#1;INFO;110;From Ax_Software;SW01022019V1-2;
13.09.23 / 20:14:10;#1;INFO;110;From AxArtNo;J33311;
