13.09.23 / 13:25:09;;;;********** New Test Started **********;Version of LINTest: 11.1.4.0
13.09.23 / 13:25:09;#1;TESTER;0;Tester;LASPRD-PC0WWK2C, LA36 Pre-Tester Multi-Cell, 202112-154B, LINTest 11.1.4.0;
13.09.23 / 13:25:09;#1;INFO;0;Bay;1;
13.09.23 / 13:25:09;#1;PROTOCOL;0;Communication Protocol;BUSLINK_PROTOCOL;
13.09.23 / 13:25:09;#1;INFO;0;WO Number;31501431
13.09.23 / 13:25:09;#1;INFO;0;Serial from PLC;0002;
13.09.23 / 13:25:09;#1;INFO;0;Product;LA36 IC;
13.09.23 / 13:25:09;#1;STEP;10;Nominal Power.;;
13.09.23 / 13:25:13;#1;STEP;20;Connect 3 PINs (BW,FW and LIN/Feedback).;;
13.09.23 / 13:25:13;#1;STEP;30;Start LIN communication 100ms continual.;;
13.09.23 / 13:25:13;#1;INFO;30;Looks like Actuator;Connected;
13.09.23 / 13:25:13;#1;STEP;40;Find BusLink *.ini Files.;;
13.09.23 / 13:25:13;#1;STEP;40;Actuator ID;LA36IC4;
13.09.23 / 13:25:14;#1;PLC_CMD;0;Command from PLC;PLC Commando;
13.09.23 / 13:25:14;#1;STEP;50;Timeout after 1 sec., indicate 'Ingen Buslink kommunikation.;;
13.09.23 / 13:25:14;#1;STEP;60;Open the right *.ini file.;;
13.09.23 / 13:25:14;#1;INFO;60;LA36IC4.ini;file found;
13.09.23 / 13:25:14;#1;STEP;70;Read SW Version from Actuator. Timout 1 sec., indicate 'Ingen Buslink kommunikation'.;;
13.09.23 / 13:25:14;#1;STEP;80;Show: Initializing EOS ind.;;
13.09.23 / 13:25:14;#1;STEP;90;Read WO Number from Actuator.;;
13.09.23 / 13:25:14;#1;INFO;90;WO from Actuator;31501431;
13.09.23 / 13:25:14;#1;INFO;90;UniqueID from Actuator;1041060;
13.09.23 / 13:25:15;#1;STEP;100;Read SW Version from Actuator.;;
13.09.23 / 13:25:15;#1;STEP;110;Compare WONumber and SWVersion.;;
13.09.23 / 13:25:15;#1;INFO;110;Query WO SQL Table Ax_Data;;
13.09.23 / 13:25:15;#1;INFO;110;SW Actuator;SW01022014V1-4;
13.09.23 / 13:25:15;#1;INFO;110;From Ax_Software;SW01022014V1-4;
13.09.23 / 13:25:15;#1;INFO;110;From AxArtNo;J44683;
13.09.23 / 13:25:15;#1;INFO;110;From AxArtName;3612020000232A-612F30400A00000;
13.09.23 / 13:25:15;#1;INFO;110;From AxConf;10SW36CFG02037;
13.09.23 / 13:25:15;#1;INFO;110;From AxPCBA;10CS36000000-H-6;
13.09.23 / 13:25:15;#1;INFO;110;PDHS set to Parallel Actuator;1;
13.09.23 / 13:25:16;#1;INFO;40;SetForcePositionLost();DONE;
13.09.23 / 13:25:16;#1;STEP;120;Run out of EOS IN. if EOS OUT ignore it.;;
13.09.23 / 13:25:17;#1;STEP;130;Read EOS IN. if not 0 'EOS In Error'.;;
13.09.23 / 13:25:17;#1;STEP;130;EOS IN;Is deactivated;
13.09.23 / 13:25:18;#1;STEP;140;Stop 200ms/Run In.;;
13.09.23 / 13:25:21;#1;STEP;150;Run to EOS IN.;;
13.09.23 / 13:25:21;#1;STEP;160;Read EOS IN Status. if not 1 'EOS IN Not active'.;;
13.09.23 / 13:25:22;#1;STEP;160;EOS IN;is activated;
13.09.23 / 13:25:23;#1;STEP;180;Wait for PLC command EOS Signal is OK.;;
13.09.23 / 13:25:24;#1;PLC_CMD;11;Command from PLC;EOS In Signal OK;
13.09.23 / 13:25:24;#1;STEP;180;EOS IN activated, Time out 10 s, EOS IN Signal;DONE;
13.09.23 / 13:25:24;#1;STEP;190;Timeout ?! EOS IN Signal PLC failure.;;
13.09.23 / 13:25:24;#1;STEP;200;Run servo to reference position and start stroke measurement.;;
13.09.23 / 13:25:25;#1;STEP;210;Show: 'Initialization EOS IN OK'.;;
13.09.23 / 13:25:25;#1;STEP;220;Show: 'Initialization EOS OUT'.;;
13.09.23 / 13:25:33;#1;STEP;230;Run to EOS OUT.;;
13.09.23 / 13:25:34;#1;STEP;240;Read EOS OUT Status. if not 1 'EOS OUT is not active'.;;
13.09.23 / 13:25:34;#1;STEP;240;EOS OUT;Is activated;
13.09.23 / 13:25:34;#1;STEP;240;Max Servo Position;648.79  mm;
13.09.23 / 13:25:34;#1;STEP;240;Min Servo Position;451.20  mm;
13.09.23 / 13:25:34;#1;STEP;240;Servo Stroke;197.60  mm;
13.09.23 / 13:25:34;#1;STEP;240;Min. BusLink Position;1.30  mm;
13.09.23 / 13:25:34;#1;STEP;240;Max. BusLink Position;197.11  mm;
13.09.23 / 13:25:34;#1;STEP;250;Not In Use.;;
13.09.23 / 13:25:34;#1;STEP;260;Not In Use.;;
13.09.23 / 13:25:34;#1;STEP;270;Not In Use.;;
13.09.23 / 13:25:34;#1;STEP;280;Read Buslink-position og verify(Excel sheet). Wait for PLC-command 'EOS OUT Signal and Voltage OK'. 12..;;
13.09.23 / 13:25:35;#1;PLC_CMD;12;Command from PLC;EOS Out Signal OK;
13.09.23 / 13:25:36;#1;STEP;290;Show: 'Initialization EOS OUT OK';;
13.09.23 / 13:25:38;#1;STEP;300;Select feedback type;;
13.09.23 / 13:25:39;#1;STEP;310;Run to SetPoint/TargetPosition.;;
13.09.23 / 13:25:40;#1;INFO;320;Actuator Type is -> None, XOR, OneHallOut;;
13.09.23 / 13:25:40;#1;INFO;320;Stay at full stroke, start measurements;;
13.09.23 / 13:25:40;#1;INFO;320;Servo Stroke = Max Servo Pos - Min Servo Pos: ;197.60  mm;
13.09.23 / 13:25:40;#1;INFO;320;##;;
13.09.23 / 13:25:40;#1;INFO;320;Min. BusLink Position;1.30  mm;
13.09.23 / 13:25:40;#1;INFO;320;Max. BusLink Position;197.11  mm;
13.09.23 / 13:25:40;#1;INFO;320;BusLink Stroke = Max. - Min.;195.81  mm;
13.09.23 / 13:25:40;#1;INFO;320;##;;
13.09.23 / 13:25:40;#1;INFO;320;Stroke Tol. = IFlexTol.;4.00  mm;
13.09.23 / 13:25:40;#1;INFO;320;Stroke Servo Max.;201.60 mm  mm;
13.09.23 / 13:25:40;#1;INFO;320;Current BusLink Position;197.11  mm;
13.09.23 / 13:25:40;#1;INFO;320;Stroke Servo Min.;193.60 mm  mm;
13.09.23 / 13:25:40;#1;INFO;320;Comparison Servo/Buslink Position;PASSED;
13.09.23 / 13:25:40;#1;STEP;340;Test Passed. ;;
13.09.23 / 13:25:49;#1;INFO;350;PullTest;Started;
13.09.23 / 13:25:49;#1;STEP;350;Start PullTest test.;;
13.09.23 / 13:25:56;#1;PLC_CMD;13;Command from PLC;Pull test OK;
13.09.23 / 13:25:59;#1;INFO;350;PullTest;PASSED;
13.09.23 / 13:25:59;#1;INFO;999;COMMUNICATION_IDLE;;
13.09.23 / 13:25:59;#1;INFO;999;SetCustomerCurrentCutOffs();DONE;
13.09.23 / 13:25:59;#1;STEP;360;LINTest has finished. EndOfTest;;
