14.09.23 / 08:03:05;;;;********** New Test Started **********;Version of LINTest: 11.1.1.0
14.09.23 / 08:03:05;#1;TESTER;0;Tester;LASPRD-C9033VKM, LA12_LA14 Function-Tester, 2011-057, LINTest 11.1.1.0;
14.09.23 / 08:03:05;#1;INFO;0;Bay;1;
14.09.23 / 08:03:05;#1;PROTOCOL;0;Communication Protocol;BUSLINK_PROTOCOL;
14.09.23 / 08:03:05;#1;INFO;0;WO Number;31504349
14.09.23 / 08:03:05;#1;INFO;0;Serial from PLC;0010;
14.09.23 / 08:03:05;#1;INFO;0;Product;LA14 IC;
14.09.23 / 08:03:05;#1;STEP;10;Nominal Power.;;
14.09.23 / 08:03:08;#1;STEP;20;Connect 3 PINs (BW,FW and LIN/Feedback).;;
14.09.23 / 08:03:08;#1;STEP;30;Start LIN communication 100ms continual.;;
14.09.23 / 08:03:08;#1;INFO;30;Looks like Actuator;Connected;
14.09.23 / 08:03:08;#1;STEP;40;Find BusLink *.ini Files.;;
14.09.23 / 08:03:08;#1;STEP;40;Actuator ID;LA14IC4B;
14.09.23 / 08:03:09;#1;PLC_CMD;0;Command from PLC;PLC Commando;
14.09.23 / 08:03:09;#1;STEP;50;Timeout after 1 sec., indicate 'Ingen Buslink kommunikation.;;
14.09.23 / 08:03:09;#1;STEP;60;Open the right *.ini file.;;
14.09.23 / 08:03:09;#1;INFO;60;LA14IC4B.ini;file found;
14.09.23 / 08:03:09;#1;STEP;70;Read SW Version from Actuator. Timout 1 sec., indicate 'Ingen Buslink kommunikation'.;;
14.09.23 / 08:03:09;#1;STEP;80;Show: Initializing EOS ind.;;
14.09.23 / 08:03:09;#1;STEP;90;Read WO Number from Actuator.;;
14.09.23 / 08:03:09;#1;INFO;90;WO from Actuator;31504349;
14.09.23 / 08:03:09;#1;INFO;90;UniqueID from Actuator;1039352;
14.09.23 / 08:03:09;#1;STEP;100;Read SW Version from Actuator.;;
14.09.23 / 08:03:09;#1;STEP;110;Compare WONumber and SWVersion.;;
14.09.23 / 08:03:09;#1;INFO;110;Query WO SQL Table Ax_Data;;
14.09.23 / 08:03:09;#1;INFO;110;SW Actuator;SW01030001V1-1;
14.09.23 / 08:03:09;#1;INFO;110;From Ax_Software;SW01030001V1-1;
14.09.23 / 08:03:09;#1;INFO;110;From AxArtNo;140258-00;
14.09.23 / 08:03:09;#1;INFO;110;From AxArtName;1404010000003B16=AK102560CS080;
14.09.23 / 08:03:09;#1;INFO;110;From AxConf;10SW14CFG000213;
